Latitude,Lat Temp Mod,Diurnal Temp Range
10.025,11.98,10.54
9.633,12.24,10.48
9.219,12.50,10.42
8.882,12.71,10.37
8.548,12.92,10.32
8.196,13.13,10.26
7.889,13.31,10.22
7.574,13.50,10.17
7.302,13.65,10.13
6.972,13.84,10.08
6.631,14.03,10.02
6.297,14.22,9.97
5.979,14.39,9.92
5.653,14.56,9.87
5.316,14.74,9.82
4.997,14.90,9.77
4.667,15.06,9.72
4.315,15.24,9.67
3.958,15.41,9.61
3.590,15.58,9.56
3.225,15.74,9.50
2.869,15.90,9.45
2.489,16.06,9.39
2.155,16.20,9.33
1.825,16.33,9.28
1.515,16.46,9.24
1.223,16.57,9.19
0.943,16.67,9.15
0.778,16.73,9.12
0.625,16.79,9.10
0.475,16.84,9.07
0.341,16.88,9.05
0.199,16.93,9.03
0.069,16.98,9.01
0.077,16.97,9.01
0.219,16.93,9.03
1.032,16.64,9.16
